cal_yr,age_grp,sex,pop,emp,emp_rate,qx,sch_grp,N_g_h,n_g_h
2021,15–19,M,1656563,399232,24.1,0.002930484,C,59181.893691023804,145
2021,15–19,M,1656563,399232,24.1,0.002930484,N,340050.1063,145
2021,20–24,M,1427882,622557,43.6,0.004197962,C,92287.4473815965,226
2021,20–24,M,1427882,622557,43.6,0.004197962,N,530269.5526,226
2021,25–29,M,1300408,903784,69.5,0.004384684,C,133976.3561023177,327
2021,25–29,M,1300408,903784,69.5,0.004384684,N,769807.6439,327
2021,30–34,M,1192846,1011533,84.8,0.004759876,C,149948.998302594,366
2021,30–34,M,1192846,1011533,84.8,0.004759876,N,861584.0017,366
2021,35–39,M,1049497,937201,89.3,0.005540084,C,138930.0706024034,340
2021,35–39,M,1049497,937201,89.3,0.005540084,N,798270.9294,340
2021,40–44,M,877933,788384,89.8,0.007090612,C,116869.53470202176,286
2021,40–44,M,877933,788384,89.8,0.007090612,N,671514.4653,286
2021,45–49,M,696218,632862,90.9,0.009035078,C,93815.05392162294,229
2021,45–49,M,696218,632862,90.9,0.009035078,N,539046.9461,229
2021,50–54,M,578958,510062,88.1,0.012699656,C,75611.26127130802,185
2021,50–54,M,578958,510062,88.1,0.012699656,N,434450.7387,185
2021,55–59,M,464579,389317,83.8,0.016584246,C,57712.10050099838,141
2021,55–59,M,464579,389317,83.8,0.016584246,N,331604.8995,141
2021,60–64,M,313665,217684,69.4,0.02447402,R,39903.0,250
2021,65–69,M,210342,117792,56.0,0.036900338,R,26759.0,167
2021,70–74,M,137117,57589,42.0,0.056949262,R,17443.0,109
2021,75–79,M,83971,23512,28.0,0.087538386,R,10682.0,67
2021,80–84,M,44349,8293,18.7,0.135289852,R,5642.0,35
2021,85–89,M,16784,1964,11.7,0.215848578,R,2135.0,30
2021,90–94,M,3338,234,7.0,0.325395556,R,425.0,30
2021,95+,M,302,14,4.7,0.534696747,R,38.0,30
2021,15–19,F,1626344,352917,21.7,0.002001384,C,52316.188020905036,128
2021,15–19,F,1626344,352917,21.7,0.002001384,N,300600.812,128
2021,20–24,F,1406968,513543,36.5,0.002548736,C,76127.28246131695,186
2021,20–24,F,1406968,513543,36.5,0.002548736,N,437415.7175,186
2021,25–29,F,1287098,765823,59.5,0.00298937,C,113525.1066019639,277
2021,25–29,F,1287098,765823,59.5,0.00298937,N,652297.8934,277
2021,30–34,F,1184042,873823,73.8,0.003365848,C,129534.95680224086,317
2021,30–34,F,1184042,873823,73.8,0.003365848,N,744288.0432,317
2021,35–39,F,1050188,847502,80.7,0.004049346,C,125633.14880217335,307
2021,35–39,F,1050188,847502,80.7,0.004049346,N,721868.8512,307
2021,40–44,F,886122,713328,80.5,0.005375548,C,105743.28180182927,258
2021,40–44,F,886122,713328,80.5,0.005375548,N,607584.7182,258
2021,45–49,F,714716,576776,80.7,0.006582374,C,85500.9015214791,209
2021,45–49,F,714716,576776,80.7,0.006582374,N,491275.0985,209
2021,50–54,F,604554,473970,78.4,0.009235366,C,70261.00651121547,172
2021,50–54,F,604554,473970,78.4,0.009235366,N,403708.9935,172
2021,55–59,F,494639,385818,78.0,0.012279788,C,57193.41100098941,140
2021,55–59,F,494639,385818,78.0,0.012279788,N,328624.589,140
2021,60–64,F,338857,216530,63.9,0.018624394,R,43107.0,270
2021,65–69,F,241972,97757,40.4,0.02920222,R,30782.0,193
2021,70–74,F,170407,51633,30.3,0.046548522,R,21678.0,136
2021,75–79,F,115993,23431,20.2,0.074166718,R,14756.0,92
2021,80–84,F,66349,8957,13.5,0.120808692,R,8441.0,53
2021,85–89,F,24966,2097,8.4,0.192618924,R,3176.0,30
2021,90–94,F,5588,285,5.1,0.284079514,R,711.0,30
2021,95+,F,706,24,3.4,0.508594635,R,90.0,30
