ie,contribution,pension
11722.217129960454,1289.44388429565,0.0
6931.645304090146,762.480983449916,0.0
6358.574258759146,699.443168463506,0.0
31019.740082345023,3412.1714090579526,0.0
12318.1331294998,1354.9946442449777,0.0
8437.729206523292,928.1502127175622,0.0
12027.01906943277,1322.9720976376045,0.0
1338.7629652719424,147.26392617991368,0.0
6173.488433770302,679.0837277147332,0.0
3349.018028833547,368.39198317169013,0.0
18289.982541295598,2011.8980795425157,0.0
8906.081042869557,979.6689147156512,0.0
28031.170511463402,3083.4287562609748,0.0
17181.049441457217,1889.9154385602938,0.0
4389.56434900629,482.85207839069193,0.0
14293.910824095889,1572.3301906505478,0.0
6803.659375075935,748.4025312583528,0.0
10988.70109602182,1208.7571205624001,0.0
14775.910107213967,1625.3501117935364,0.0
6904.433841070366,759.4877225177403,0.0
24416.357795810414,2685.799357539146,0.0
14681.651973647038,1614.9817171011741,0.0
12115.468832924762,1332.7015716217238,0.0
3762.0524640282733,413.8257710431101,0.0
8383.77443894695,922.2151882841646,0.0
6699.285424125217,736.9213966537739,0.0
27614.480687057912,3037.5928755763703,0.0
90379.20505063192,9941.712555569511,0.0
13163.931125223542,1448.0324237745895,0.0
1955.0120654286086,215.05132719714695,0.0
4397.363663714043,483.7100030085446,0.0
26809.77601267236,2949.075361393959,0.0
5496.040525952514,604.5644578547766,0.0
125253.61176093748,13777.897293703123,0.0
3332.3833754839493,366.5621713032344,0.0
25429.41921062942,2797.2361131692364,0.0
12635.537262968197,1389.9090989265017,0.0
8088.7888340259815,889.7667717428579,0.0
8460.974868234787,930.7072355058266,0.0
7479.3988717776465,822.7338758955411,0.0
23251.65777629482,2557.682355392431,0.0
6498.832231764152,714.8715454940568,0.0
13104.837408096753,1441.532114890643,0.0
6487.097689074356,713.5807457981792,0.0
58333.64502058162,6416.700952263978,0.0
30656.504643340646,3372.215510767471,0.0
16022.820964487257,1762.510306093598,0.0
8455.668364367548,930.1235200804301,0.0
6811.436390858544,749.2580029944398,0.0
19305.6810757248,2123.6249183297277,0.0
8547.8226330833,940.2604896391631,0.0
12060.337586761747,1326.6371345437924,0.0
7304.682186691798,803.5150405360978,0.0
29475.26087738363,3242.278696512199,0.0
19464.698242974657,2141.1168067272124,0.0
14391.853942503327,1583.1039336753659,0.0
25858.304068792895,2844.4134475672186,0.0
8712.853876417243,958.4139264058966,0.0
8737.34131147719,961.1075442624908,0.0
25121.99113052006,2763.419024357206,0.0
12843.66549863975,1412.8032048503726,0.0
18354.158627679568,2018.9574490447526,0.0
12923.604027373432,1421.5964430110776,0.0
11901.757981950865,1309.193378014595,0.0
3378.079860222306,371.58878462445364,0.0
11003.782380418028,1210.416061845983,0.0
3709.3271855571243,408.0259904112837,0.0
4261.593198693444,468.7752518562788,0.0
6081.2405634102015,668.9364619751223,0.0
65984.56587244886,7258.302245969374,0.0
22957.683421327438,2525.345176346018,0.0
13246.940380498694,1457.1634418548563,0.0
19849.636843974757,2183.460052837223,0.0
37800.37215413578,4158.040936954936,0.0
8432.219671953391,927.544163914873,0.0
3999.895898074762,439.9885487882238,0.0
12984.91637778725,1428.3408015565976,0.0
26275.436196551953,2890.297981620715,0.0
12515.677045396864,1376.724474993655,0.0
20612.664660476486,2267.3931126524135,0.0
31241.020663213094,3436.5122729534405,0.0
25132.810434344086,2764.6091477778496,0.0
9252.661383861137,1017.7927522247251,0.0
17411.88600880177,1915.3074609681946,0.0
15859.225018225394,1744.514752004793,0.0
15591.23214418735,1715.0355358606087,0.0
20742.474922534173,2281.672241478759,0.0
26119.51847988169,2873.147032786986,0.0
4123.06842561239,453.5375268173629,0.0
13269.008664799383,1459.5909531279322,0.0
6476.384099413907,712.4022509355298,0.0
11936.33262015438,1312.996588216982,0.0
60637.042355936086,6670.07465915297,0.0
14453.695735057607,1589.906530856337,0.0
6356.354716108776,699.1990187719655,0.0
7345.370911883948,807.9908003072343,0.0
8689.525260176713,955.8477786194385,0.0
23613.101919392917,2597.441211133221,0.0
15401.333073203228,1694.1466380523552,0.0
15584.122775981856,1714.2535053580043,0.0
58084.117318294186,6389.25290501236,0.0
38173.66044191294,4199.102648610423,0.0
3494.0173852857815,384.341912381436,0.0
7953.743842471907,874.9118226719097,0.0
4004.292233759339,440.4721457135273,0.0
6578.963376237411,723.6859713861152,0.0
21887.986284008402,2407.6784912409244,0.0
8086.88574184578,889.5574316030359,0.0
23033.0927273999,2533.6402000139888,0.0
6422.616288106874,706.4877916917562,0.0
4202.172213221798,462.2389434543978,0.0
57382.84893365777,6312.113382702355,0.0
10655.760976455926,1172.1337074101518,0.0
138147.30939307256,15196.204033237982,0.0
30122.79599888677,3313.5075598775443,0.0
17210.247000360407,1893.1271700396449,0.0
19286.424893397874,2121.506738273766,0.0
2452.761835955469,269.8038019551016,0.0
9257.133080280526,1018.284638830858,0.0
23037.56841889283,2534.1325260782114,0.0
21058.670985532648,2316.4538084085916,0.0
7298.771323191987,802.8648455511187,0.0
7566.934338761525,832.3627772637677,0.0
3002.949756306442,330.3244731937086,0.0
2803.05591304131,308.3361504345441,0.0
10157.587744184422,1117.3346518602866,0.0
16540.91289505581,1819.5004184561394,0.0
2604.009931384727,286.44109245231994,0.0
15412.407751147017,1695.3648526261718,0.0
15606.676400905706,1716.7344040996277,0.0
4536.291643426521,498.99208077691725,0.0
13418.740914921813,1476.0615006413993,0.0
13227.538922630809,1455.029281489389,0.0
4456.566983532303,490.22236818855333,0.0
51176.11349618589,5629.372484580448,0.0
6030.126306560317,663.3138937216349,0.0
38205.883409316244,4202.6471750247865,0.0
1907.4680339913048,209.82148373904352,0.0
14501.902342925992,1595.2092577218593,0.0
34991.87781734183,3849.106559907602,0.0
12161.984526176278,1337.8182978793905,0.0
5933.74723632922,652.7121959962142,0.0
13645.083097048582,1500.959140675344,0.0
4734.60193028499,520.8062123313489,0.0
9591.81613380786,1055.0997747188644,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
