id_synt,cal_yr,age_min,age_max,age_grp,sex,sch_grp,weight
0000120,2020,15,19,15–19,M,C,385.8286853958441
0000220,2020,15,19,15–19,M,C,385.8286853958441
0000320,2020,15,19,15–19,M,C,385.8286853958441
0000420,2020,15,19,15–19,M,C,385.8286853958441
0000520,2020,15,19,15–19,M,C,385.8286853958441
0000620,2020,15,19,15–19,M,C,385.8286853958441
0000720,2020,15,19,15–19,M,C,385.8286853958441
0000820,2020,15,19,15–19,M,C,385.8286853958441
0000920,2020,15,19,15–19,M,C,385.8286853958441
0001020,2020,15,19,15–19,M,C,385.8286853958441
0001120,2020,15,19,15–19,M,C,385.8286853958441
0001220,2020,15,19,15–19,M,C,385.8286853958441
0001320,2020,15,19,15–19,M,C,385.8286853958441
0001420,2020,15,19,15–19,M,C,385.8286853958441
0001520,2020,15,19,15–19,M,C,385.8286853958441
0001620,2020,15,19,15–19,M,C,385.8286853958441
0001720,2020,15,19,15–19,M,C,385.8286853958441
0001820,2020,15,19,15–19,M,C,385.8286853958441
0001920,2020,15,19,15–19,M,C,385.8286853958441
0002020,2020,15,19,15–19,M,C,385.8286853958441
0002120,2020,15,19,15–19,M,C,385.8286853958441
0002220,2020,15,19,15–19,M,C,385.8286853958441
0002320,2020,15,19,15–19,M,C,385.8286853958441
0002420,2020,15,19,15–19,M,C,385.8286853958441
0002520,2020,15,19,15–19,M,C,385.8286853958441
0002620,2020,15,19,15–19,M,C,385.8286853958441
0002720,2020,15,19,15–19,M,C,385.8286853958441
0002820,2020,15,19,15–19,M,C,385.8286853958441
0002920,2020,15,19,15–19,M,C,385.8286853958441
0003020,2020,15,19,15–19,M,C,385.8286853958441
0003120,2020,15,19,15–19,M,C,385.8286853958441
0003220,2020,15,19,15–19,M,C,385.8286853958441
0003320,2020,15,19,15–19,M,C,385.8286853958441
0003420,2020,15,19,15–19,M,C,385.8286853958441
0003520,2020,15,19,15–19,M,C,385.8286853958441
0003620,2020,15,19,15–19,M,C,385.8286853958441
0003720,2020,15,19,15–19,M,C,385.8286853958441
0003820,2020,15,19,15–19,M,C,385.8286853958441
0003920,2020,15,19,15–19,M,C,385.8286853958441
0004020,2020,15,19,15–19,M,C,385.8286853958441
0004120,2020,15,19,15–19,M,C,385.8286853958441
0004220,2020,15,19,15–19,M,C,385.8286853958441
0004320,2020,15,19,15–19,M,C,385.8286853958441
0004420,2020,15,19,15–19,M,C,385.8286853958441
0004520,2020,15,19,15–19,M,C,385.8286853958441
0004620,2020,15,19,15–19,M,C,385.8286853958441
0004720,2020,15,19,15–19,M,C,385.8286853958441
0004820,2020,15,19,15–19,M,C,385.8286853958441
0004920,2020,15,19,15–19,M,C,385.8286853958441
0005020,2020,15,19,15–19,M,C,385.8286853958441
0005120,2020,15,19,15–19,M,C,385.8286853958441
0005220,2020,15,19,15–19,M,C,385.8286853958441
0005320,2020,15,19,15–19,M,C,385.8286853958441
0005420,2020,15,19,15–19,M,C,385.8286853958441
0005520,2020,15,19,15–19,M,C,385.8286853958441
0005620,2020,15,19,15–19,M,C,385.8286853958441
0005720,2020,15,19,15–19,M,C,385.8286853958441
0005820,2020,15,19,15–19,M,C,385.8286853958441
0005920,2020,15,19,15–19,M,C,385.8286853958441
0006020,2020,15,19,15–19,M,C,385.8286853958441
0006120,2020,15,19,15–19,M,C,385.8286853958441
0006220,2020,15,19,15–19,M,C,385.8286853958441
0006320,2020,15,19,15–19,M,C,385.8286853958441
0006420,2020,15,19,15–19,M,C,385.8286853958441
0006520,2020,15,19,15–19,M,C,385.8286853958441
0006620,2020,15,19,15–19,M,C,385.8286853958441
0006720,2020,15,19,15–19,M,C,385.8286853958441
0006820,2020,15,19,15–19,M,C,385.8286853958441
0006920,2020,15,19,15–19,M,C,385.8286853958441
0007020,2020,15,19,15–19,M,C,385.8286853958441
0007120,2020,15,19,15–19,M,C,385.8286853958441
0007220,2020,15,19,15–19,M,C,385.8286853958441
0007320,2020,15,19,15–19,M,C,385.8286853958441
0007420,2020,15,19,15–19,M,C,385.8286853958441
0007520,2020,15,19,15–19,M,C,385.8286853958441
0007620,2020,15,19,15–19,M,C,385.8286853958441
0007720,2020,15,19,15–19,M,C,385.8286853958441
0007820,2020,15,19,15–19,M,C,385.8286853958441
0007920,2020,15,19,15–19,M,C,385.8286853958441
0008020,2020,15,19,15–19,M,C,385.8286853958441
0008120,2020,15,19,15–19,M,C,385.8286853958441
0008220,2020,15,19,15–19,M,C,385.8286853958441
0008320,2020,15,19,15–19,M,C,385.8286853958441
0008420,2020,15,19,15–19,M,C,385.8286853958441
0008520,2020,15,19,15–19,M,C,385.8286853958441
0008620,2020,15,19,15–19,M,C,385.8286853958441
0008720,2020,15,19,15–19,M,C,385.8286853958441
0008820,2020,15,19,15–19,M,C,385.8286853958441
0008920,2020,15,19,15–19,M,C,385.8286853958441
0009020,2020,15,19,15–19,M,C,385.8286853958441
0009120,2020,15,19,15–19,M,C,385.8286853958441
0009220,2020,15,19,15–19,M,C,385.8286853958441
0009320,2020,15,19,15–19,M,C,385.8286853958441
0009420,2020,15,19,15–19,M,C,385.8286853958441
0009520,2020,15,19,15–19,M,C,385.8286853958441
0009620,2020,15,19,15–19,M,C,385.8286853958441
0009720,2020,15,19,15–19,M,C,385.8286853958441
0009820,2020,15,19,15–19,M,C,385.8286853958441
0009920,2020,15,19,15–19,M,C,385.8286853958441
0010020,2020,15,19,15–19,M,C,385.8286853958441
0010120,2020,15,19,15–19,M,C,385.8286853958441
0010220,2020,15,19,15–19,M,C,385.8286853958441
0010320,2020,15,19,15–19,M,C,385.8286853958441
0010420,2020,15,19,15–19,M,C,385.8286853958441
0010520,2020,15,19,15–19,M,C,385.8286853958441
0010620,2020,15,19,15–19,M,C,385.8286853958441
0010720,2020,15,19,15–19,M,C,385.8286853958441
0010820,2020,15,19,15–19,M,C,385.8286853958441
0010920,2020,15,19,15–19,M,C,385.8286853958441
0011020,2020,15,19,15–19,M,C,385.8286853958441
0011120,2020,15,19,15–19,M,C,385.8286853958441
0011220,2020,15,19,15–19,M,C,385.8286853958441
0011320,2020,15,19,15–19,M,C,385.8286853958441
0011420,2020,15,19,15–19,M,C,385.8286853958441
0011520,2020,15,19,15–19,M,C,385.8286853958441
0011620,2020,15,19,15–19,M,C,385.8286853958441
0011720,2020,15,19,15–19,M,C,385.8286853958441
0011820,2020,15,19,15–19,M,C,385.8286853958441
0011920,2020,15,19,15–19,M,C,385.8286853958441
0012020,2020,15,19,15–19,M,C,385.8286853958441
0012120,2020,15,19,15–19,M,C,385.8286853958441
0012220,2020,15,19,15–19,M,C,385.8286853958441
0012320,2020,15,19,15–19,M,C,385.8286853958441
0012420,2020,15,19,15–19,M,C,385.8286853958441
0012520,2020,15,19,15–19,M,C,385.8286853958441
0012620,2020,15,19,15–19,M,C,385.8286853958441
0012720,2020,15,19,15–19,M,C,385.8286853958441
0012820,2020,15,19,15–19,M,C,385.8286853958441
0012920,2020,15,19,15–19,M,C,385.8286853958441
0013020,2020,15,19,15–19,M,C,385.8286853958441
0013120,2020,15,19,15–19,M,C,385.8286853958441
0013220,2020,15,19,15–19,M,C,385.8286853958441
0013320,2020,15,19,15–19,M,C,385.8286853958441
0013420,2020,15,19,15–19,M,C,385.8286853958441
0013520,2020,15,19,15–19,M,C,385.8286853958441
0013620,2020,15,19,15–19,M,C,385.8286853958441
0013720,2020,15,19,15–19,M,C,385.8286853958441
0013820,2020,15,19,15–19,M,C,385.8286853958441
0013920,2020,15,19,15–19,M,C,385.8286853958441
0014020,2020,15,19,15–19,M,C,385.8286853958441
0014120,2020,15,19,15–19,M,C,385.8286853958441
0014220,2020,15,19,15–19,M,C,385.8286853958441
0014320,2020,15,19,15–19,M,C,385.8286853958441
0014420,2020,15,19,15–19,M,C,385.8286853958441
0014520,2020,15,19,15–19,M,C,385.8286853958441
0014620,2020,15,19,15–19,M,N,2332.3713144827584
0014720,2020,15,19,15–19,M,N,2332.3713144827584
0014820,2020,15,19,15–19,M,N,2332.3713144827584
0014920,2020,15,19,15–19,M,N,2332.3713144827584
0015020,2020,15,19,15–19,M,N,2332.3713144827584
0015120,2020,15,19,15–19,M,N,2332.3713144827584
0015220,2020,15,19,15–19,M,N,2332.3713144827584
0015320,2020,15,19,15–19,M,N,2332.3713144827584
0015420,2020,15,19,15–19,M,N,2332.3713144827584
0015520,2020,15,19,15–19,M,N,2332.3713144827584
0015620,2020,15,19,15–19,M,N,2332.3713144827584
0015720,2020,15,19,15–19,M,N,2332.3713144827584
0015820,2020,15,19,15–19,M,N,2332.3713144827584
0015920,2020,15,19,15–19,M,N,2332.3713144827584
0016020,2020,15,19,15–19,M,N,2332.3713144827584
0016120,2020,15,19,15–19,M,N,2332.3713144827584
0016220,2020,15,19,15–19,M,N,2332.3713144827584
0016320,2020,15,19,15–19,M,N,2332.3713144827584
0016420,2020,15,19,15–19,M,N,2332.3713144827584
0016520,2020,15,19,15–19,M,N,2332.3713144827584
