id_person,cal_yr,age_grp,sex,sch_grp,weight,earnings,contribution,pension,qx,age_min,regr_0_ind,retir_0_ind,death_ind
5090,2021,15–19,F,C,409.0799509,283666.8295,3432.368637,0.0,0.009967113,15,0,0,0
5091,2021,15–19,F,C,409.0799509,365621.0124,4424.014249,0.0,0.009967113,15,0,0,0
5092,2021,15–19,F,C,409.0799509,113341.9027,1371.437023,0.0,0.009967113,15,0,0,0
5093,2021,15–19,F,C,409.0799509,376453.6807,4555.089537,0.0,0.009967113,15,0,0,0
5094,2021,15–19,F,C,409.0799509,79871.77657,966.4484966,0.0,0.009967113,15,0,0,0
5095,2021,15–19,F,C,409.0799509,71533.32482,865.5532303,0.0,0.009967113,15,0,0,0
5096,2021,15–19,F,C,409.0799509,242972.8703,2939.971731,0.0,0.009967113,15,0,0,0
5097,2021,15–19,F,C,409.0799509,125666.8317,1520.568664,0.0,0.009967113,15,0,0,0
5098,2021,15–19,F,C,409.0799509,37943.13032,459.1118769,0.0,0.009967113,15,0,0,1
5099,2021,15–19,F,C,409.0799509,151212.6719,1829.67333,0.0,0.009967113,15,0,0,0
5100,2021,15–19,F,C,409.0799509,338550.9456,4096.466442,0.0,0.009967113,15,0,0,0
5101,2021,15–19,F,C,409.0799509,47128.95844,570.2603971,0.0,0.009967113,15,0,0,0
5102,2021,15–19,F,C,409.0799509,36443.82721,440.9703093,0.0,0.009967113,15,0,0,0
5103,2021,15–19,F,C,409.0799509,63415.69654,767.3299281,0.0,0.009967113,15,0,0,0
5104,2021,15–19,F,C,409.0799509,157330.2545,1903.69608,0.0,0.009967113,15,0,0,0
5105,2021,15–19,F,C,409.0799509,71575.47895,866.0632953,0.0,0.009967113,15,0,0,0
5106,2021,15–19,F,C,409.0799509,111947.3146,1354.562507,0.0,0.009967113,15,0,0,0
5107,2021,15–19,F,C,409.0799509,44554.99012,539.1153804,0.0,0.009967113,15,0,0,0
5108,2021,15–19,F,C,409.0799509,90406.76975,1093.921914,0.0,0.009967113,15,0,0,0
5109,2021,15–19,F,C,409.0799509,66428.30959,803.782546,0.0,0.009967113,15,0,0,0
5110,2021,15–19,F,C,409.0799509,188376.9162,2279.360686,0.0,0.009967113,15,0,0,0
5111,2021,15–19,F,C,409.0799509,101515.5471,1228.33812,0.0,0.009967113,15,0,0,0
5112,2021,15–19,F,C,409.0799509,206774.1579,2501.967311,0.0,0.009967113,15,0,0,0
5113,2021,15–19,F,C,409.0799509,66262.65724,801.7781526,0.0,0.009967113,15,0,0,0
5114,2021,15–19,F,C,409.0799509,785465.024,9504.126791,0.0,0.009967113,15,0,0,0
5115,2021,15–19,F,C,409.0799509,86662.2536,1048.613269,0.0,0.009967113,15,0,0,0
5116,2021,15–19,F,C,409.0799509,169936.8317,2056.235664,0.0,0.009967113,15,0,0,0
5117,2021,15–19,F,C,409.0799509,40876.10708,494.6008957,0.0,0.009967113,15,0,0,0
